id,title,author,description,availableCopies,CategoryId
b8bcc8b2-cb38-4ab5-b406-dd9ad7477218,Getting It Right,Cristine Rathe,"Breakdown (mechanical) of GI prosth dev/grft, sequela",17-788-4442,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
e9809fcd-deba-4733-b130-75897f413555,"Last American Virgin, The",Kiri Snufflebottom,Filtering (vitreous) bleb after glaucoma surgery status,55-792-0850,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
d3a1f00e-0eaa-4ba6-bc8d-efdfc2c1025c,Tyler Perry's Meet the Browns,Hort Mudie,"Burn of unspecified degree of lip(s), sequela",81-935-2769,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
3f183d02-da68-44ee-af86-ed7ff738372d,"Lacemaker, The (Dentellière, La)",Augustine Padefield,Type 1 diabetes mellitus with other skin ulcer,59-114-2885,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
f1d60db5-16db-4ad8-a367-f728234bdbb9,Spies (Spione),Giacinta Cannop,"Disord of muscle in diseases classd elswhr, unsp upper arm",96-330-6364,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
5d15a6de-1057-4b54-88a3-f60ebc29e847,Return of the Street Fighter (Satsujin ken 2),Jemima Heardman,"Osteonecrosis due to previous trauma, right hand",59-155-3323,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
f77cc51d-cf20-4641-8a4e-6f7a8da05460,Kisses for My President,Mercy Laville,"Displ avuls fx tuberosity of l calcaneus, 7thP",88-638-7131,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
8484428a-0e7a-4b2a-bf7b-cdeb8f5ea4eb,On Probation (Tiempo de Valientes),Stavro Whiteland,"Complete traumatic amputation of left great toe, subs encntr",49-947-0326,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
ecb3b1fe-d7ff-4da0-b50a-216c50cced60,Lucky Them,Venus Danihelka,"Traum rupture of ligament of r mid finger at MCP/IP jt, subs",57-257-7932,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
53cc3b5b-30d7-4999-9945-d072919b03fa,"White Dwarf, The (Valkoinen kääpiö)",Georgeta Geeson,Monoplg low lmb fol cerebral infrc aff right dominant side,06-383-4030,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
5121697d-0dc5-4987-8e8e-14cab4ce7edb,Rio Rita,Maurene Jirousek,Nondisplaced fracture of coronoid process of left ulna,67-428-7498,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
6615e6e1-c8a8-4c03-a0d7-e34741527a5c,At Any Price,Lesley Sudron,"Subluxation of T4/T5 thoracic vertebra, subsequent encounter",38-905-2724,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
8a224b62-c261-4a47-94f4-dc122fa288a4,Commune,Agustin Ciani,"Path fx in neopltc dis, unsp humer, subs for fx w delay heal",00-426-0395,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
8e63acfc-4b0a-4609-938a-e034be47fc4e,Amuck!,Katusha Weekland,"Biomechanical lesions, not elsewhere classified",75-448-3922,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
5a258635-8d31-47ad-9e18-8189d78d57e3,"Last Ferry, The (Ostatni prom)",Rebeca Hammerton,Unsp superficial injury of left eyelid and periocular area,68-930-1606,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
38116f38-5b88-4896-af40-0898ea2118c0,Men to Kiss,Hilliard Notman,Corrosion of second degree of right shoulder,33-236-3195,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
caa71198-9599-48a8-94b4-f8e7b2813e5b,Cyrano de Bergerac,Isaak Litel,"Oth disrd of amniotic fluid and membrns, first tri, unsp",03-125-2234,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
2c217b00-1d15-4ec8-bf53-9d32a94619f5,Bounty Hunters (Bail Enforcers),Cecilia Sexten,Motorcycle driver injured in collision w ped/anml nontraf,57-629-3428,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
df9a54c2-9313-441b-ad30-e8f474f34036,Donovan's Echo,Berne Kitchenside,"Disp fx of neck of unsp MC bone, subs for fx w routn heal",86-452-2697,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
6a142615-0bdf-4847-985b-8bba4735f146,"Injury to One, An",Mabelle Devaney,"Person on outside of dune buggy injured in traf, sequela",35-452-5643,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1d26daf1-43a4-4b79-b581-e10c3b8ef1a9,Starbuck,Kenon Tropman,"Striking against or struck by football helmet, sequela",60-393-5133,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
32737998-179b-43dc-a6a3-0ae944d34fad,Rumble on the Docks,Hermina Duff,"Nondisp assoc transv/post fx r acetab, 7thD",05-727-6382,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
e348f0e6-9d2a-4436-822b-d3180e9f9d2a,Schmatta: Rags to Riches to Rags,Elita Crush,"Schmorl's nodes, thoracic region",40-470-9405,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
8f096d44-9b1e-4c7d-9cff-6852a2d46e53,"T,O,U,C,H,I,N,G",Dolores Keeves,"Unsp mtrcy rider injured in clsn w unsp mv in traf, sequela",61-156-2859,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
c113dcd5-9812-4e6a-a8ea-79d2c0281383,"Ilsa, She Wolf of the SS",Erin Hebborne,"Contusion of bladder, initial encounter",50-614-7048,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
b6767778-da11-4e34-b341-476984a3d8d8,Dinner with Friends,Kaylil Jeandeau,Family history of blindness and visual loss,22-128-9032,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
985dfb5f-91c6-41ff-ad1c-25b1717cdbb7,Bal (Honey),Sioux Moppett,Fall from tree,00-654-1507,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
77fe1a37-f252-4ba0-8a8b-08d8c6835b0b,"Razor's Edge, The",Kerwin Geater,"Pnctr w fb of right eyelid and periocular area, init",37-758-7627,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
6e7ccccd-a6e4-43eb-b5b8-2d133b78ac4c,Little Big Soldier (Da bing xiao jiang),Nari Manes,"Cervical disc disorder w radiculopathy, unsp cervical region",32-207-4003,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
b87c6ed1-3f67-4ef8-a978-17fda2f546f1,Prêt à tout,Merrilee Alsopp,"Asphyx due to smothering in furniture, self-harm, sequela",34-608-7618,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
ce57cd9a-3092-44b9-8767-32752eb244ee,"Great Waldo Pepper, The",Araldo Polini,Brain stem stroke syndrome,34-600-0555,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
06b95abc-920a-4522-bde5-33cb4eb983ed,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night),Stafford Chauvey,"Unspecified juvenile rheumatoid arthritis, hip",20-015-1095,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
fa8e2f5e-a5f8-49c7-8d4a-23bf7c882119,Graffiti Bridge,Donnie Baszkiewicz,Acute and unspecified inflammation of lacrimal passages,33-997-5986,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
c476e203-27e5-4822-aab3-e44b892bcff6,"Son of Kong, The",Whitman Irons,"Disp fx of cuboid bone of left foot, subs for fx w malunion",76-984-3897,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
1f92b7c4-b8ee-481a-a9a8-e7c1ed59f1bc,From the Hip,Daria McGarva,"Toxic effect of halogenated insecticides, accidental, init",95-769-5493,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
61d82d65-23a3-4b53-9873-5bce320beea5,"Last Blitzkrieg, The",Nancie Larkkem,"Unspecified injury of pelvis, initial encounter",06-367-9602,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
237fa219-d4d2-4ba7-8a72-f36ea12ab961,October,Lesli Mc Ilory,"Bitten by other fish, initial encounter",37-988-3274,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
f549f764-9f7e-4dbd-8d9b-b7f5467a7e16,Ju-on: The Curse 2,Cati Gravenall,"Polyhydramnios, third trimester, fetus 5",83-715-8590,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
6c63cc9d-e6eb-4edb-bc4d-64478120656f,Fried Green Tomatoes,Merwin Nevison,"Nondisp fx of medial phalanx of other finger, sequela",71-891-1122,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
8f707953-c993-4f13-a14c-bac52c13615f,Make It Happen,Yule Bonallack,"Nondisp fx of med condyle of r tibia, 7thN",70-076-1562,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
5566355f-503e-4e7d-8e4f-6362fa74d86e,Midnight Express,Robinet Behrendsen,"Displ subtrochnt fx unsp femr, 7thJ",86-646-0599,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
256b80b8-2667-477d-b0f4-d15896f3abfe,"Sheriff and the Satellite Kid, The",Artus Drynan,Allergic contact dermatitis due to metals,96-248-6806,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
683964a3-0c69-4a43-858b-db16243db8fd,"Rumble in Hong Kong (Nu jing cha) (Heroine, The)",Elissa Tebbut,Neoplasm of uncertain behavior of kidney,29-942-6978,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
31ae5bed-9ff1-4ab5-8e55-22e86753e1a7,"Heart of Me, The",Sibyl Ference,Insect bite (nonvenomous) of left front wall of thorax,63-941-0642,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
696a6df1-7d4c-4bbb-bf6e-250d60869eaa,Desire Under the Elms,Trev Smogur,"Corrosion of second degree of left thigh, initial encounter",04-966-7347,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
adfbf39a-9177-4e22-8831-02eac4833cd7,Bombay Talkie,Ruthanne Besnardeau,"Obs & eval of NB for susp skin,subcu,ms & conn tiss cond R/O",28-016-8589,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
84b199e8-e299-472d-b70a-3377ed1d8fd4,Sube y Baja,Christan Deem,Other spondylopathies,49-683-5522,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
99f27f11-b872-4c44-a139-63bd8167013d,Sudden Impact,Hayyim Lunck,Fetal hydantoin syndrome,25-515-0819,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
bb32d491-5597-4344-aaa5-b9eba3827b64,Elvis Meets Nixon,Ralf Corwood,"Other specified joint disorders, right hip",71-058-8240,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
e7771f66-00b3-408f-aab6-51dd0f118623,Vampire's Kiss,Demott Valek,Multiple endocrine neoplasia [MEN] syndromes,26-513-6258,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
cd4c2475-cd13-43e1-88f8-fceedadc7046,Trial and Error,Gwenore Papaminas,"Benign neoplasm of respiratory system, unspecified",87-844-3301,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
a2eb66dd-e3c5-456c-9063-ebace8ff67ae,Miss Representation,Antone Collough,"Recurrent dislocation, knee",61-939-4742,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
9c60136a-2f79-4557-a858-7df463acae5d,"Tunnel, The (Tunnel, Der)",Griswold Goodie,"Juvenile myoclonic epilepsy, not intractable, w stat epi",45-986-5036,"{:type=>""Guid"", :faker=>""helpers.randomElement"", :options=>[""6a72edb7-0fb3-44c6-b2d3-14018ea0372d"", ""e623185b-245a-4208-bc1f-18f4dc865fc4"", ""60f798c6-51e4-45eb-9e66-3f149890c745"", ""905b4954-0c9d-4be2-b7ab-7bc4977fa963"", ""366803be-fafd-4be0-873a-e4b253b31f96""]}"
